,frap_region
810,[426 423]
811,[428 420]
812,[422 429]
813,[424 424]
814,[423 428]
815,[426 418]
816,[423 419]
817,[421 418]
818,[422 431]
819,[426 428]
820,[427 419]
821,[428 427]
822,[425 430]
823,[426 426]
824,[427 427]
825,[435 430]
826,[436 429]
827,[432 428]
828,[434 433]
829,[431 420]
830,[432 423]
831,[430 423]
832,[431 429]
833,[429 429]
834,[426 427]
835,[433 430]
836,[432 425]
837,[431 435]
838,[430 432]
839,[426 430]
840,[428 422]
841,[424 421]
842,[426 424]
843,[427 431]
844,[427 432]
845,[424 434]
846,[427 431]
847,[429 431]
848,[425 428]
849,[427 439]
850,[423 437]
851,[422 446]
852,[420 437]
853,[422 437]
854,[421 437]
855,[424 436]
856,[428 425]
857,[426 431]
858,[422 428]
859,[421 431]
860,[422 425]
861,[424 428]
862,[418 428]
863,[423 434]
864,[418 430]
865,[415 438]
866,[422 439]
867,[423 433]
868,[420 430]
869,[409 438]
870,[410 441]
871,[410 429]
872,[413 436]
873,[411 436]
874,[410 437]
875,[406 433]
876,[407 440]
877,[405 445]
878,[407 444]
879,[410 443]
880,[403 438]
881,[404 444]
882,[408 441]
883,[406 443]
884,[408 439]
885,[407 443]
886,[408 441]
887,[408 443]
888,[405 432]
889,[402 434]
890,[411 441]
891,[407 440]
892,[408 445]
893,[406 437]
894,[407 443]
895,[404 442]
896,[410 436]
897,[399 438]
898,[406 440]
899,[405 444]
900,[403 442]
901,[407 446]
902,[402 440]
903,[404 440]
904,[404 441]
905,[405 436]
906,[405 439]
907,[406 443]
908,[406 449]
909,[404 444]
910,[406 444]
911,[406 443]
912,[406 446]
913,[404 445]
914,[400 448]
915,[407 447]
916,[406 442]
917,[404 450]
918,[400 445]
919,[399 437]
920,[401 437]
921,[399 437]
922,[402 446]
923,[402 442]
924,[400 444]
925,[400 453]
926,[405 456]
927,[398 451]
928,[404 452]
929,[401 451]
930,[404 447]
931,[406 446]
932,[399 450]
933,[403 448]
934,[401 454]
935,[403 456]
936,[399 444]
937,[403 449]
938,[406 449]
939,[405 449]
940,[408 457]
941,[401 455]
942,[404 455]
943,[404 457]
944,[406 459]
945,[405 458]
946,[410 462]
947,[408 464]
948,[405 468]
949,[404 464]
950,[403 465]
951,[405 466]
952,[402 465]
953,[402 467]
954,[400 463]
955,[401 463]
956,[401 465]
957,[399 467]
958,[399 456]
959,[398 460]
960,[399 470]
961,[401 472]
962,[401 467]
963,[398 472]
964,[400 469]
965,[399 470]
966,[400 466]
967,[400 476]
968,[397 472]
969,[394 462]
970,[396 463]
971,[400 463]
972,[394 463]
973,[395 465]
974,[394 460]
975,[392 460]
976,[390 467]
977,[394 458]
978,[398 463]
979,[393 458]
